date,srad,rain,rhum,tmax,tmin,wvel
1988-01-01,19.55,0.37,82.41,18.86,10.79,0.99
1988-01-02,20.66,1.03,78.38,21.04,9.71,0.91
1988-01-03,23.08,0.57,79.1,20.92,9.69,0.98
1988-01-04,19.51,0.59,81.43,21.02,11.51,0.98
1988-01-05,18.25,1.57,82.49,21.29,11.33,0.94
1988-01-06,16.02,2.75,84.55,20.78,12.78,1.03
1988-01-07,18.18,0.84,86.41,20.88,12.64,1.3
1988-01-08,20.09,0.26,86.2,20.89,12.92,1.12
1988-01-09,20.27,0.05,82.21,21.15,13,0.95
1988-01-10,21.06,0.13,80.18,19.89,12.76,0.85
1988-01-11,21.56,0.14,80.78,20.89,12.33,0.62
1988-01-12,22.64,0.24,80.14,21.1,12.35,0.69
1988-01-13,20.99,0.52,79.64,20.71,11.63,0.85
1988-01-14,18.72,3.29,75.9,20.6,11.05,0.97
1988-01-15,18.61,7.13,82.49,20.25,11.06,0.87
1988-01-16,16.74,6.14,87.14,19.6,12.58,0.9
1988-01-17,17.46,1.27,86.05,19.82,12.53,0.74
1988-01-18,15.48,6.55,88.54,19.21,12.69,0.75
1988-01-19,17.75,2.97,88.18,19.4,12.57,0.84
1988-01-20,22,0.43,77.48,20.82,11.51,1.09
1988-01-21,21.28,0.19,76.37,21.22,9.28,0.88
1988-01-22,20.63,0.03,80.91,20.53,11.8,0.95
1988-01-23,20.95,0.33,77.56,21.42,10.13,1.15
1988-01-24,22.32,0.06,74.21,21.28,9.72,1.16
1988-01-25,21.42,0.01,66.53,21.06,9.97,0.87
1988-01-26,18.9,1.03,69.46,21.1,8.48,1.16
1988-01-27,15.88,3.55,81.61,20.21,10.42,1.16
1988-01-28,18.04,2.75,82.62,20.69,11.4,1.09
1988-01-29,6.3,0.91,80,20.48,11.97,1.2
1988-01-30,9.32,0.48,79.27,20.64,11.36,1.55
1988-01-31,15.98,2.2,81.34,20.79,11.47,1.74
1988-02-01,22.57,0.37,78.48,20.9,11.59,1.98
1988-02-02,18.43,9.88,80.39,21.44,11.63,1.37
1988-02-03,16.31,5.71,80.94,21.38,11.79,0.99
1988-02-04,9.4,3.37,83.5,19.19,12.43,0.92
1988-02-05,13.61,2.42,76.49,21.28,10.66,1.19
1988-02-06,16.38,5.56,84.57,20.99,11.73,1.31
1988-02-07,15.77,7.22,87.13,19.62,12.7,1.45
1988-02-08,16.92,3.46,81.84,20.51,11.8,1.27
1988-02-09,18.18,7.61,82.42,21.63,12.16,1.03
1988-02-10,19.87,7.18,84.84,19.94,12.86,1
1988-02-11,16.24,5.11,88.15,19.78,13.42,0.79
1988-02-12,16.42,0.75,82.47,20.83,12.53,1.08
1988-02-13,10.26,1.04,80.49,22.01,12.19,1.27
1988-02-14,16.99,0.6,81.28,22.05,12.04,1.4
1988-02-15,21.6,1.47,78.58,21.86,12.27,1.44
1988-02-16,18.32,0.57,77,22.12,11.95,1.28
1988-02-17,22.21,0.13,70.78,22.22,11.05,1.06
1988-02-18,24.23,0.07,67.36,23.53,10.93,0.97
1988-02-19,22.86,1.15,71.35,23.26,11.29,1.09
1988-02-20,25.96,1.6,76.09,20.54,11.69,1
1988-02-21,19.55,1.53,77.23,21.77,12.09,1.06
1988-02-22,14.51,2.47,79.05,21.26,13.18,1.27
1988-02-23,19.22,5.78,80.38,21.85,12.25,1.11
1988-02-24,16.88,12.3,81.23,21.52,13.46,0.73
1988-02-25,16.78,11.41,81.87,20.88,12.85,0.69
1988-02-26,14.29,4.28,80.11,20.43,11.88,0.55
1988-02-27,13.5,2.53,81.38,20.51,13.1,0.44
1988-02-28,19.19,1.45,82.96,18.94,12.57,0.4
1988-02-29,21.42,0.21,77.25,21.13,13.03,0.68
1988-03-01,18.29,0.07,78.05,21.4,12.85,0.66
1988-03-02,20.66,0.01,79.64,20.56,13.33,0.88
1988-03-03,19.66,0.01,75.56,22.06,12.65,1.25
1988-03-04,25.6,0,63.83,23.46,11.31,1.27
1988-03-05,23.72,0.11,64.62,23.71,10.75,0.9
1988-03-06,22.32,0.09,68.04,23.63,12.46,1.04
1988-03-07,24.01,0.89,61.74,23.11,12.33,0.97
1988-03-08,20.77,0.67,60.36,23.08,11.47,1.1
1988-03-09,21.1,0.1,62.05,23.22,12.54,0.68
1988-03-10,21.53,0.01,67.68,22.18,13.37,0.65
1988-03-11,22.18,1.27,70.29,21.38,13.09,0.87
1988-03-12,20.34,1.76,65.49,22.59,11.98,1.16
1988-03-13,17.03,3.23,76.38,21.65,12.98,1.03
1988-03-14,18,1.95,82.39,19.68,13.82,0.8
1988-03-15,17.93,3.4,76.64,21.74,12.47,1.21
1988-03-16,16.38,1.39,78.06,21.45,11.58,1.37
1988-03-17,20.12,1.17,69.81,22.5,10.75,1.51
1988-03-18,18.9,0.73,64.55,22.22,11.58,2.12
1988-03-19,25.27,0.27,62.22,22.19,10.65,2.18
1988-03-20,19.37,1.75,69.26,22.43,12.03,1.79
1988-03-21,20.63,0.99,68.09,23,12.45,1.96
1988-03-22,25.34,0.95,66.02,23.33,10.55,1.72
1988-03-23,23.8,0.35,57.47,23.2,9.43,1.88
1988-03-24,25.42,0.89,63.91,22.3,9.47,1.9
1988-03-25,24.48,1.27,64.94,22.61,11.29,1.73
1988-03-26,15.84,3.07,69.29,22.71,12.31,1.74
1988-03-27,12.53,1.1,67.38,23.03,12.9,1.76
1988-03-28,13,4.81,72.53,22.87,13.29,1.72
1988-03-29,16.63,4.73,86.99,19.87,13.49,1.68
1988-03-30,17.39,13.63,76.34,21.4,11.78,1.02
1988-03-31,14.9,5.07,77.71,21.86,11.1,1.31
1988-04-01,12.67,3.48,78.7,22.25,12.32,1.55
1988-04-02,10.73,6.49,82.36,20.61,13.2,1.16
1988-04-03,13.86,4.81,88.14,19.93,12.9,1.11
1988-04-04,16.7,5.64,80.95,21.4,11.96,1.27
1988-04-05,18.25,4.98,83.24,21.91,12.91,1.77
1988-04-06,4.79,9.13,85.06,21.41,13.52,1.12
1988-04-07,12.6,10.91,85.44,19.89,13.36,0.94
1988-04-08,15.84,13.08,82.14,21.31,12.44,1.42
1988-04-09,9.25,15.32,85.81,20.04,13.01,1.38
1988-04-10,10.66,17.97,90.88,18.7,12.69,1.25
1988-04-11,12.82,14.54,82.66,19.55,12.89,0.57
1988-04-12,15.48,6.07,82.06,21.03,11.77,1
1988-04-13,13.32,5.08,84.1,21.12,12.49,1.08
1988-04-14,18.9,6.61,85.84,20.75,13.35,0.88
1988-04-15,17.6,4.66,84.14,21.01,13.84,0.92
